Nom,Industrie,Siège Social,Site Web,Taille(employés),Fondée,Forme Juridique,Adresse 1,Adresse 2,Ville,Region,Code Postal
Moroccan Aviation Services,Aéronautique et aérospatiale,"Marrakech Airport
Agadir Airport
Agadir/Marrakech/Casablanca
AGADIR
Maroc",http://www.moroccanaviationservices.com,1-10,,Société à responsabilité limitée,Marrakech Airport,Agadir Airport,Agadir/Marrakech/Casablanca,AGADIR,
MAROC AEROSUP,Aéronautique et aérospatiale,"390, Boulevard Zerktouni
Casablanca
20040
Maroc",http://www.aerosup.ma,51-200,2011,Établissement éducatif,"390, Boulevard Zerktouni",,Casablanca,,20040
Infohas ,Aéronautique et aérospatiale,"15 Rue Demnate Hassan
Rabat
Rabat/Morocco
10000
Maroc",http://infohas.ma,11-50,1996,Travailleur indépendant ou profession libérale,15 Rue Demnate Hassan,,Rabat,Rabat/Morocco,10000
Air Form Morocco Group,Aéronautique et aérospatiale,"7 avenue Oqba
Villa n°7, Agdal
Rabat
Maroc",http://www.air-form.ma,11-50,2004,Établissement éducatif,7 avenue Oqba,"Villa n°7, Agdal",Rabat,,
Munisys,Technologies et services de l’information,"Munisys
Indusparc, Bâtiment B2, C.T.1015
Casablanca
20400
Maroc",http://www.munisys.net.ma,201-500,1992,Société à responsabilité limitée,Munisys,"Indusparc, Bâtiment B2, C.T.1015",Casablanca,,20400
UNIFORCE informatique (UNIFORCE Group),Technologies et services de l’information,"320 BD ZERKTOUNI
Casablanca
20040
Maroc",http://www.uniforce.ma,51-200,1993,Société à responsabilité limitée,320 BD ZERKTOUNI,,Casablanca,,20040
MedTech Group,Technologies et services de l’information,"Boulevard abdelmoumen
Casablanca
Maroc",http://www.medtechgroupmorocco.com,201-500,,Société à responsabilité limitée,Boulevard abdelmoumen,,Casablanca,,
Synergie Media,Technologies et services de l’information,"325, Avenue Hassan II
Agadir
80020
Maroc",http://www.synergie-media.com,1-10,,Société à responsabilité limitée,"325, Avenue Hassan II",,Agadir,,80020
Software Business,Technologies et services de l’information,"18 Marjane 1, Tranche 1
Meknes
Meknes Tafilalt
50070
Maroc",http://www.softbusiness.ma,51-200,2012,Société cotée en bourse,"18 Marjane 1, Tranche 1",,Meknes,Meknes Tafilalt,50070
Edicom,Technologies et services de l’information,"20340
Maroc",http://www.telecontact.ma,51-200,,Société de personnes (associés),,,,,20340
ALTITUDE Technology,Technologies et services de l’information,"Bd YAAKOUB EL MANSOUR
17 Rue Ishaak Ibnou Hanine
Casablanca
20380
Maroc",http://www.altitech.ma,1-10,2009,Société à responsabilité limitée,Bd YAAKOUB EL MANSOUR,17 Rue Ishaak Ibnou Hanine,Casablanca,,20380
MedSys Maroc,Technologies et services de l’information,"C 42 Al Maghrib Al Arabi
2éme Etage, N3
Kenitra
14000
Maroc",http://www.redfoxmaroc.com,11-50,2010,Société cotée en bourse,C 42 Al Maghrib Al Arabi,"2éme Etage, N3",Kenitra,,14000
Business IT Solutions (BITS),Technologies et services de l’information,Maroc,http://www.bits.ma,11-50,2004,Société à responsabilité limitée,,,,,
IT Agency Casablanca,Technologies et services de l’information,"62 Rue IShak el Marouni 1er étage
Casablanca
Maarif
20000
Maroc",http://www.itagencycasa.com/,11-50,2012,Société à responsabilité limitée,62 Rue IShak el Marouni 1er étage,,Casablanca,Maarif,20000
Navcities,Technologies et services de l’information,"Bureau 378, 3e étage
Rte Nouasser
Casablanca
20150
Maroc",http://www.navcities.com,11-50,2008,Société à responsabilité limitée,"Bureau 378, 3e étage",Rte Nouasser,Casablanca,,20150
Masarat Technology,Technologies et services de l’information,"79 Tarik Ibn zyad, 3ème Etage
TEMARA
Rabat
10180
Maroc",http://www.masarattechnology.com,1-10,2008,Société à responsabilité limitée,"79 Tarik Ibn zyad, 3ème Etage",,TEMARA,Rabat,10180
Novway,Technologies et services de l’information,"52, Bd Abdelmoumen
Casablanca
20340
Maroc",http://www.novway.com,11-50,,Société à responsabilité limitée,"52, Bd Abdelmoumen",,Casablanca,,20340
Clear Sight Consulting,Technologies et services de l’information,"Rabat
Maroc",http://www.cscmaroc.com,,2008,Société à responsabilité limitée,,,Rabat,,
Xsourcing Services and Technologies,Technologies et services de l’information,"110 Rue Brahim Nakhai, Maârif
Casablanca
20100
Maroc",http://www.xsourcing.ma,11-50,2012,Société à responsabilité limitée,"110 Rue Brahim Nakhai, Maârif",,Casablanca,,20100
Incepture S.A.R.L,Technologies et services de l’information,"15 Avenue AL ABTAL Appt N°4 AGDAL
RABAT
10000
Maroc",http://www.incepture.ma,1-10,2015,Société à responsabilité limitée,15 Avenue AL ABTAL Appt N°4 AGDAL,,RABAT,,10000
PROGRECIA,Technologies et services de l’information,"17, Place Pasteur, Imm. Pasteur Build
BP 1807 Casa Derb Ghalef
Casablanca
20100
Maroc",http://www.progrecia.com,1-10,,Société à responsabilité limitée,"17, Place Pasteur, Imm. Pasteur Build",BP 1807 Casa Derb Ghalef,Casablanca,,20100
SYSCloud Maroc,Technologies et services de l’information,"Rue maamoura, Residence LILIA
Bureau N°2
KENITRA
KENITRA
14000
Maroc",http://www.syscloudmaroc.com,1-10,2014,Société à responsabilité limitée,"Rue maamoura, Residence LILIA",Bureau N°2,KENITRA,KENITRA,14000
Synope,Technologies et services de l’information,"11000
Maroc",http://www.synope.ma,1-10,2009,Société à responsabilité limitée,,,,,11000
Innovate - Applied Innovative Technologies,Technologies et services de l’information,"20100
Maroc",http://www.innovate.ma,1-10,,Société à responsabilité limitée,,,,,20100
CREASITE S.A.R.L,Technologies et services de l’information,"Villa N°:8, hay jaafari Polo
Casablanca
Maroc",http://www.creasite.ma,1-10,2007,Société à responsabilité limitée,"Villa N°:8, hay jaafari Polo",,Casablanca,,
GG Projects SARL,Technologies et services de l’information,Maroc,http://www.ggp.ma/,1-10,,Société à responsabilité limitée,,,,,
BLUE CONCEPT Morocco,Technologies et services de l’information,"Casablanca
Casablanca
Maroc",http://www.blueconcept.ma,1-10,2015,Société à responsabilité limitée,Casablanca,,Casablanca,,
Menara service,Technologies et services de l’information,"4,Rue Omar Slaoui,3ème étage,Appt 8 20130-Casablanca ,Maroc
Casablanca
Maroc",http://www.menara-services.com,11-50,2012,Société à responsabilité limitée,"4,Rue Omar Slaoui,3ème étage,Appt 8 20130-Casablanca ,Maroc",,Casablanca,,
Mohami Moyassir,Technologies et services de l’information,"23, Rue Melouia N°5. Agdal
Rabat
10000
Maroc",http://www.mohami.ma,1-10,2013,Société cotée en bourse,"23, Rue Melouia N°5. Agdal",,Rabat,,10000
International Digital Media,Technologies et services de l’information,"39, AV lalla yacout, App D, 5eme étage
Casablanca
20200
Maroc",http://www.idm-groupe.com,11-50,,Société à responsabilité limitée,"39, AV lalla yacout, App D, 5eme étage",,Casablanca,,20200
Kabb&Ber Business Solutions,Technologies et services de l’information,"Bd My abdellah Résidence Taiba A 4ème étage / Plateau n° 10
Marrakech
Maroc",http://kabb-ber.com/,1-10,2015,Société de personnes (associés),Bd My abdellah Résidence Taiba A 4ème étage / Plateau n° 10,,Marrakech,,
Naos CRM,Technologies et services de l’information,"09, Rue Khatawat, Agdal
Rabat
Rabat-Salé-Zemmour-Zaer
10000
Maroc",http://www.naoscrm.com,1-10,2014,Société à responsabilité limitée,"09, Rue Khatawat, Agdal",,Rabat,Rabat-Salé-Zemmour-Zaer,10000
EnerGetic Link,Technologies et services de l’information,"Bd la Corniche, Résidence Le Yacht, Entrée A, Bureau 137, 5ème étage, Casablanca
Casablanca
Casablanca
20054
Maroc",http://www.energeticlink.com/,11-50,2012,Entreprise individuelle,"Bd la Corniche, Résidence Le Yacht, Entrée A, Bureau 137, 5ème étage, Casablanca",,Casablanca,Casablanca,20054
XCELIA,Technologies et services de l’information,"571, Avenue Mohamed VI
Immeuble Mathis, Bloc A 2 étage
Rabat
Africa Region
10000
Maroc",http://www.xcelia.ma,1-10,2013,Société à responsabilité limitée,"571, Avenue Mohamed VI","Immeuble Mathis, Bloc A 2 étage",Rabat,Africa Region,10000
USUS Technologies Consulting,Technologies et services de l’information,"27 Rue Bapaume Angle Mohamed V 8éme Etage Bureau A
CASABLANCA
20300
Maroc",,1-10,2014,Société à responsabilité limitée,27 Rue Bapaume Angle Mohamed V 8éme Etage Bureau A,,CASABLANCA,,20300
Target Ing,Technologies et services de l’information,"73 rue des écoles Maârif, 1er étage Appartement N°1
Casablanca
Maroc",http://www.targeting.ma,1-10,2013,Société à responsabilité limitée,"73 rue des écoles Maârif, 1er étage Appartement N°1",,Casablanca,,
IBnCS,Technologies et services de l’information,"10, R104, Rue Ghandi - Hassan, Rabat - Maroc
Rabat
Maroc",http://www.ibncs.com/,1-10,2015,Société à responsabilité limitée,"10, R104, Rue Ghandi - Hassan, Rabat - Maroc",,Rabat,,
Acceler Tech,Technologies et services de l’information,"34, rue 6 Octobre –ex Convention
Casablanca
Quartier: Racine
Maroc",http://www.acceler-tech.com,1-10,2014,Société à responsabilité limitée,"34, rue 6 Octobre –ex Convention",,Casablanca,Quartier: Racine,
MEDIA MONDE Studios,Technologies et services de l’information,"18 bis, rue Aljoulane
Agadir
Agadir
80000
Maroc",http://www.mediamonde-studios.net,11-50,2009,Société cotée en bourse,"18 bis, rue Aljoulane",,Agadir,Agadir,80000
Dataflex.pro,Technologies et services de l’information,"E3 rue itea
Hay Riad
Rabat
10100
Maroc",http://dataflex.pro,1-10,2012,Entreprise individuelle,E3 rue itea,,Hay Riad,Rabat,10100
JNF PRODUCTION,Technologies et services de l’information,"15 rue fkih rifi qu biada
Safi
Safi
46000
Maroc",http://www.jnfproduction.com/,1-10,2014,Entreprise individuelle,15 rue fkih rifi qu biada,,Safi,Safi,46000
ELLARIASYSTEMS,Technologies et services de l’information,"918 Bd Mohammed VI
Khouribga
Khouribga
25000
Maroc",http://www.ellariasystems.com/,1-10,2013,Société de personnes (associés),918 Bd Mohammed VI,,Khouribga,Khouribga,25000
SCISI Consulting,Technologies et services de l’information,"265, BD Zerktouni,9éme étage,N°92.
Casablanca
20250
Maroc",http://scisiconsulting.com/,1-10,,Société à responsabilité limitée,"265, BD Zerktouni,9éme étage,N°92.",,Casablanca,,20250
Experts Learning And Consulting,Technologies et services de l’information,"10, Rue Alyamama
Escalier ""B"" N° 23
Rabat
Rabat
10000
Maroc",http://elc.ma,1-10,2015,Établissement éducatif,"10, Rue Alyamama","Escalier ""B"" N° 23",Rabat,Rabat,10000
A-Tech.ma,Technologies et services de l’information,"Bab Al Madina
Quartier Tilila
Agadir
80000
Maroc",http://www.a-tech.ma,1-10,2015,Société à responsabilité limitée,Bab Al Madina,Quartier Tilila,Agadir,,80000
Buzzarts,Technologies et services de l’information,"6, rue Dayet Aoua 4 ème Etage Appt 16, Agdal
Rabat
10000
Maroc",http://www.buzzarts.ma/,1-10,2015,Société à responsabilité limitée,"6, rue Dayet Aoua 4 ème Etage Appt 16, Agdal",,Rabat,,10000
EBS MAROC,Technologies et services de l’information,"20, route Azemour lot wakanati Ain Diab
CASABLANCA
20200
Maroc",http://ebsmaroc.com/,1-10,,Société à responsabilité limitée,"20, route Azemour lot wakanati Ain Diab",,CASABLANCA,,20200
INVENSTOCK : L'inventaire sur mesure au Maroc,Technologies et services de l’information,"67, rue Chevalier Bayard
Casablanca
Maroc",http://www.invenstock.com,1-10,2015,Société à responsabilité limitée,"67, rue Chevalier Bayard",,Casablanca,,
Sami Consulting SARL,Technologies et services de l’information,"10, BD de Liberté
Casablanca
20000
Maroc",http://www.samiconsulting.ma,1-10,2012,Société à responsabilité limitée,"10, BD de Liberté",,Casablanca,,20000
1form-Software,Technologies et services de l’information,"26, Avenue Mers Sultan, Appt. : 3, Etage 1
Casablanca
Casablanca
20000
Maroc",http://www.1form-software.ma,1-10,2015,Société à responsabilité limitée,"26, Avenue Mers Sultan, Appt. : 3, Etage 1",,Casablanca,Casablanca,20000
WAMADAT apps,Technologies et services de l’information,"52, Boulevard Zerktouni 1er Etage Résidence Erreda
Casablanca
Maroc",http://www.wamadatapps.com,1-10,2015,Société à responsabilité limitée,"52, Boulevard Zerktouni 1er Etage Résidence Erreda",,Casablanca,,
Mdcconcept,Technologies et services de l’information,"207, boulevard La Résistance, (rond point d'europe)
Casablanca
Maroc",http://www.mdcconcept.ml/,11-50,2014,Société à responsabilité limitée,"207, boulevard La Résistance, (rond point d'europe)",,Casablanca,,
GrafikUp,Technologies et services de l’information,"Fès, MAROC
FES
MAROC
30000
Maroc",http://grafikup.com,1-10,2015,Entreprise individuelle,"Fès, MAROC",,FES,MAROC,30000
Good Omens WebStudio,Technologies et services de l’information,"Lot de Centre, 69
Ouarzazate
45000
Maroc",http://www.43.lc/,1-10,2015,Société cotée en bourse,"Lot de Centre, 69",,Ouarzazate,,45000
F2o Tech,Technologies et services de l’information,"Bd Mohammed V
Casablanca
20000
Maroc",http://www.chargi.ma,1-10,,Société à responsabilité limitée,Bd Mohammed V,,Casablanca,,20000
Azurys,Technologies et services de l’information,"appartement 12, immeuble GH1 P7, résidence Nassim
Mohammedia
28000
Maroc",http://azurys.com,1-10,2014,Société à responsabilité limitée,"appartement 12, immeuble GH1 P7, résidence Nassim",,Mohammedia,,28000
CITEL Technology,Technologies et services de l’information,"18 Rue El Habacha ex Briey, Quartier Liberté, Étage 2, Bureau 3
Casablanca
20130
Maroc",http://www.citel.ma,11-50,2014,Société à responsabilité limitée,"18 Rue El Habacha ex Briey, Quartier Liberté, Étage 2, Bureau 3",,Casablanca,,20130
Mattelicom,Technologies et services de l’information,"Avenue Ahmed Réda Guédira
Nahda
Rabat
10210
Maroc",http://www.mattelicom.com,11-50,2006,Société à responsabilité limitée,Avenue Ahmed Réda Guédira,Nahda,Rabat,,10210
Enetcom,Technologies et services de l’information,"147 avenue Mohamed V
Tanger
90 000
Maroc",http://www.enetcom.ma,1-10,2014,Société à responsabilité limitée,147 avenue Mohamed V,,Tanger,,90 000
IDills,Technologies et services de l’information,"Lotissement El Mawlid Immeuble 11 A2, 2ème ètage N°24
CASABLANCA
SIDI MAAROUF
Maroc",http://www.idills.net,11-50,2014,Entreprise individuelle,"Lotissement El Mawlid Immeuble 11 A2, 2ème ètage N°24",,CASABLANCA,SIDI MAAROUF,
Avempace Consulting,Technologies et services de l’information,"52 Boulevard Zerktouni
Casablanca
Maroc",http://www.avempace-consulting.com,1-10,2013,Société cotée en bourse,52 Boulevard Zerktouni,,Casablanca,,
Sky Solutions sarl,Technologies et services de l’information,"29 Bd Mohamed VI Centre commercial Erac 1er etage Imm F2, Appt 4
Casablanca
Maroc",http://www.skysolutions.ma,11-50,,Société à responsabilité limitée,"29 Bd Mohamed VI Centre commercial Erac 1er etage Imm F2, Appt 4",,Casablanca,,
IstyaGroup,Technologies et services de l’information,"7 rue Sebta
Résidence Rami-bureau 8
Casablanca
20100
Maroc",http://www.istyagroup.com,1-10,2015,Société à responsabilité limitée,7 rue Sebta,Résidence Rami-bureau 8,Casablanca,,20100
sysoftcreation ntc.,Technologies et services de l’information,"SIDI YOUSSEF BEN ALI, QUARTIER INDUSTRIEL 141
Marrakech
Marrakech el-haouz
41000
Maroc",http://www.sysoftcreation.com,1-10,2014,Entreprise individuelle,"SIDI YOUSSEF BEN ALI, QUARTIER INDUSTRIEL 141",,Marrakech,Marrakech el-haouz,41000
ideomap,Technologies et services de l’information,"25 rue jebli
Rabat
10000
Maroc",http://www.ideomap.com,1-10,2010,Société à responsabilité limitée,25 rue jebli,,Rabat,,10000
BOUNYA,Technologies et services de l’information,"Centre ville
Rabat
10000
Maroc",http://www.bounya.com,1-10,2008,Travailleur indépendant ou profession libérale,Centre ville,,Rabat,,10000
DevMobil,Technologies et services de l’information,"Jawhara IMM C GH21, Sidi Othmane 20000
Casablanca
Grande Casablanca
20000
Maroc",http://www.devmobil.ma,1-10,2014,Société à responsabilité limitée,"Jawhara IMM C GH21, Sidi Othmane 20000",,Casablanca,Grande Casablanca,20000
Grafezia,Technologies et services de l’information,"219 Technopark
Casablanca
Sélectionnez un département
20000
Maroc",http://www.grafezia.com,1-10,,Société à responsabilité limitée,219 Technopark,,Casablanca,Sélectionnez un département,20000
Archive Dynamics,Technologies et services de l’information,"22, avenue de Fes, Salé - 11 000 Maroc
Rabat - Salé
11000
Maroc",http://www.archive-dynamics.com,1-10,2015,Société à responsabilité limitée,"22, avenue de Fes, Salé - 11 000 Maroc",,Rabat - Salé,,11000
IT-Connect,Technologies et services de l’information,"91, Rue Londres, Ocean
Rabat
10000
Maroc",http://www.it-connect.ma,1-10,2013,Société à responsabilité limitée,"91, Rue Londres, Ocean",,Rabat,,10000
Stradigix,Technologies et services de l’information,"5 AV Youssef Ibnou Tachfine
2eme Etage Appt:03
Tanger
Tanger
90000
Maroc",http://stradigix.com/,1-10,2014,Société cotée en bourse,5 AV Youssef Ibnou Tachfine,2eme Etage Appt:03,Tanger,Tanger,90000
CPEINC,Technologies et services de l’information,"Hay Riad
Rabat
Rabat
10104
Maroc",http://www.cpe-inc.ma,1-10,2013,Entreprise individuelle,Hay Riad,,Rabat,Rabat,10104
TEDIX,Technologies et services de l’information,"28 bd kennedy
Casablanca
Maroc",http://www.tedix.net,1-10,2012,Société cotée en bourse,28 bd kennedy,,Casablanca,,
Certifia,Technologies et services de l’information,"Rue sousa, Imm 2, appt N° 1 Hassan
Rabat
10000
Maroc",http://www.certifia.ma,11-50,2006,Société à responsabilité limitée,"Rue sousa, Imm 2, appt N° 1 Hassan",,Rabat,,10000
MEDAFRICA SYSTEMS,Technologies et services de l’information,"14, Rue Annassime, Avenue Al Arz, Hay Riad
Rabat
10090
Maroc",http://www.medasys.ma/,11-50,1995,Société de personnes (associés),"14, Rue Annassime, Avenue Al Arz, Hay Riad",,Rabat,,10090
Pro Concept Multimedia,Technologies et services de l’information,"Tanger
Tanger
90100
Maroc",http://www.proconcept.ma,1-10,2004,Entreprise individuelle,Tanger,,Tanger,,90100
YourHost.ma,Technologies et services de l’information,Maroc,http://www.yourhost.ma,1-10,,Société à responsabilité limitée,,,,,
North Web Media Sarl,Technologies et services de l’information,"14, Bir Anzarane St.
Taghdicht Residence Apt. 4
Tangier
90000
Maroc",http://www.northwebmedia.com/,11-50,2012,Société à responsabilité limitée,"14, Bir Anzarane St.",Taghdicht Residence Apt. 4,Tangier,,90000
Essorline,Technologies et services de l’information,"46 avenue Okba appartement 2 AGDAL
Rabat
Rabat/Salé
10000
Maroc",http://www.essorline.com,1-10,2013,Société à responsabilité limitée,46 avenue Okba appartement 2 AGDAL,,Rabat,Rabat/Salé,10000
ORBITIUM,Technologies et services de l’information,"1 Rue Mohammed Sidki, Bd d'Anfa
Casablanca
20000
Maroc",http://www.orbitium.ma,11-50,,Société à responsabilité limitée,"1 Rue Mohammed Sidki, Bd d'Anfa",,Casablanca,,20000
Quarkscape,Technologies et services de l’information,Maroc,http://quarkscape.com,,2005,Travailleur indépendant ou profession libérale,,,,,
dncomm.com,Technologies et services de l’information,"Burea 323 technopark 1029
casablanca
casablanca
1029
Maroc",http://dncomm@dncomm.com,1-10,2012,Société à responsabilité limitée,Burea 323 technopark 1029,,casablanca,casablanca,1029
FINAINFO INFORMATICA DISTRIBUTOR,Technologies et services de l’information,"Finainfo sarl, 4, Rue Jebel TAZKA, Appt n° 5
Rabat
Rabat
10000
Maroc",http://finainfo.fr,1-10,2010,Société à responsabilité limitée,"Finainfo sarl, 4, Rue Jebel TAZKA, Appt n° 5",,Rabat,Rabat,10000
